EmployeeId,UniqueCode,NetworkId,firstname,middlename,lastname,nameprefix,namesuffix,preferredname,department,division,orgunitnumber,companycode,companynumber,hierarchy,location,locationName,manageremployeenumber,managerfirstname,managerlastname,managermiddlename,workemail,workphone,extension,fax,mobile,pager,secondaryphone,title,employeetype,employeetypedescription,regtempin,fulltimeparttimein,status,employeestatusdescription,Street,City,Province,zipcode,userstate,region,country,approver,delegate,jobcode,costcentername,costcentercode,sunrisedate,sunsetdate,vacationstart,vacationend,mailcode,hiredate,terminationdate,lastdayworked,contractstartdate,contractenddate,lastperformancereviewdate,lastperformancereviewresult,standardhours,shiftcode,shiftname,dom_intl_in,TerminationDate
1434,PL1434,PLyons,Paulo,,Lyons,,,,Advertising,"Global Marketing, Branding and Corporate Affairs",9,MKTG,MKTG9,4,Los Angeles,,1080,Demetria,Bridges,,Paulo.Lyons@sec.com,846-736-9487,,,01942 402 000,,,Associate Advertising,FT,FullTime,Regular,FullTime,1,Active,2175 North California Blvd  Suite 400,Los Angeles                   ,CA,90501,CA,West,USA,1345,,R1,IPRCCC09,IPRCCC09,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1435,LL1435,LLalor,Leopoldo,Leo,Lalor,,,Leo,Advertising,"Global Marketing, Branding and Corporate Affairs",9,MKTG,MKTG9,4,Los Angeles,,1080,Demetria,Bridges,,Leopoldo.Lalor@sec.com,804-415-1105,,,01355 581 600,,,Associate Advertising,FT,FullTime,Regular,FullTime,1,Active,2175 North California Blvd  Suite 400,Los Angeles                   ,CA,90501,CA,West,USA,1345,,R1,IPRCCC09,IPRCCC09,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1400,SR1400,SReddy,Stephen,,Reddy,,,,Branding,"Global Marketing, Branding and Corporate Affairs",14,MKTG,MKTG9,4,Los Angeles,,1080,Demetria,Bridges,,Stephen.Reddy@sec.com,210-374-4318,,,0191 2599426,,,Associate Vice President Branding,PT,PartTime,Regular,PartTime,1,Active,2175 North California Blvd  Suite 400,Los Angeles                   ,CA,90501,CA,West,USA,1091,,R1,IOPSCCC14,IOPSCCC14,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1799,AT1799,ATreacy,Andrea,,Treacy,,,,Branding,"Global Marketing, Branding and Corporate Affairs",14,MKTG,MKTG9,4,Los Angeles,,1080,Demetria,Bridges,,Andrea.Treacy@sec.com,210-374-4318,,,01606 330092,,,Associate Vice President Branding,PT,PartTime,Regular,PartTime,1,Active,2175 North California Blvd  Suite 400,Los Angeles                   ,CA,90501,CA,West,USA,1091,,R1,IOPSCCC14,IOPSCCC14,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1071,AE1071,AEaton,Astra,,Eaton,,,,Capital Markets,Global Markets,15,GMKT,GMKT15,2,Newyork City,,1086,Daphne,Bright,,Astra.Eaton@sec.com,569-377-2468,,,0141 886 4541,,,Associate Trader,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,,,D1,ISALCCC11,ISALCCC11,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1075,CB1075,CBradley,Clare,,Bradley,,,,Capital Markets,Global Markets,15,GMKT,GMKT15,3,Newyork City,,1086,Daphne,Bright,,Clare.Bradley@sec.com,945-540-7066,,,01376 551308,,,Associate Trader,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,1071,,M1,ISALCCC11,ISALCCC11,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1086,DB1086,DBright,Daphne,,Bright,,,,Capital Markets,Global Markets,15,GMKT,GMKT15,3,Newyork City,,1078,Erich,Vazquez,,Daphne.Bright@sec.com,565-694-9382,,,01925 212028,,,Vice President Capital Markets,FT,FullTime,Regular,PartTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,,,D1,IRNDCCC15,IRNDCCC15,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1088,FM1088,FMcpherson,Fritz,,Mcpherson,,II,,Capital Markets,Global Markets,15,GMKT,GMKT15,4,Newyork City,,1086,Daphne,Bright,,Fritz.Mcpherson@sec.com,703-826-5919,,,01582 573919,,,Associate Trader,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,1075,,R1,ISALCCC11,ISALCCC11,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1089,JC1089,JCote,John,,Cote,,,Jon,Capital Markets,Global Markets,15,GMKT,GMKT15,2,Newyork City,,1086,Daphne,Bright,,John.Cote@sec.com,135-424-9884,,,01827 56888,,,Associate Trader,FT,FullTime,Regular,PartTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,1890,,R1,ISALCCC11,ISALCCC11,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1091,DF1091,DFlynn,Drake,,Flynn,,,,Capital Markets,Global Markets,15,GMKT,GMKT15,3,Newyork City,,1086,Daphne,Bright,,Drake.Flynn@sec.com,992-869-2669,,,01628 661529,,,Associate Trader,FT,FullTime,Regular,PartTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,1890,,R1,ISALCCC11,ISALCCC11,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1096,BC1096,BCharles,Briar,,Charles,,,,Capital Markets,Global Markets,15,GMKT,GMKT15,4,Newyork City,,1086,Daphne,Bright,,Briar.Charles@sec.com,460-258-1875,,,01277 264758,,,Associate Trader,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,1075,,R1,ISALCCC11,ISALCCC11,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1135,KH1135,KHarding,Kennedy,,Harding,,,,Capital Markets,Global Markets,15,GMKT,GMKT15,4,Newyork City,,1086,Daphne,Bright,,Kennedy.Harding@sec.com,783-454-6612,,,01782 747090,,,Associate Trader,FT,FullTime,Regular,PartTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,1889,,M1,IRNDCCC15,IRNDCCC15,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1155,GM1155,GMelton,Gisela,,Melton,,,,Capital Markets,Global Markets,15,GMKT,GMKT15,4,Newyork City,,1086,Daphne,Bright,,Gisela.Melton@sec.com,162-549-6731,,,0131 448 2181,,,Associate Trader,FT,FullTime,Regular,PartTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,1890,,R1,IRNDCCC15,IRNDCCC15,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1204,RC1204,RChen,Ryder,,Chen,,,,Capital Markets,Global Markets,15,GMKT,GMKT15,4,Newyork City,,1086,Daphne,Bright,,Ryder.Chen@sec.com,643-494-0059,,,028 7136 0770,,,Associate Trader,PT,PartTime,Regular,PartTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,1890,,R1,IRNDCCC15,IRNDCCC15,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1205,VS1205,VSnyder,Vivian,,Snyder,,,Violet,Capital Markets,Global Markets,15,GMKT,GMKT15,4,Newyork City,,1086,Daphne,Bright,,Vivian.Snyder@sec.com,526-763-8411,,,020 8534 7597,,,Associate Trader,FT,FullTime,Regular,PartTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,1890,,R1,IRNDCCC15,IRNDCCC15,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1257,OF1257,OFranklin,Orson,,Franklin,,,,Capital Markets,Global Markets,15,GMKT,GMKT15,4,Newyork City,,1086,Daphne,Bright,,Orson.Franklin@sec.com,711-996-3689,,,01793 828255,,,Associate Trader,FT,FullTime,Regular,PartTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,1890,,R1,IRNDCCC15,IRNDCCC15,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
2486,SC2486,SCronin,Shane,,Cronin,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,2,Newyork City,,1025,Ted,Thomson,,Shane.Cronin@sec.com,,,,02476 439267 / 07833048605,,,Managing Dir. Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2782,,D7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2487,KC2487,KCronin,Kevin,,Cronin,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,3,Newyork City,,2486,SHANE,CRONIN,,Kevin.Cronin@sec.com,,,,020 7695 8939,,,Vice President Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2782,,M7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2488,LO2488,LO'Carroll,Leo,,O'Carroll,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,KEVIN,CRONIN,,Leo.O'Carroll@sec.com,,,,,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2782,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2489,MO2489,MO'Regan,Mark,,O'Regan,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,KEVIN,CRONIN,,Mark.O'Regan@sec.com,,,,020 7695 4148,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2782,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2490,AM2490,AMcGinty,Aidan,,McGinty,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,KEVIN,CRONIN,,Aidan.McGinty@sec.com,,,,020 7695 2876 / 07920233655,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2782,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2491,LM2491,LMagee,Laura,,Magee,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,KEVIN,CRONIN,,Laura.Magee@sec.com,,,,0207 695 8189,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2782,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2495,TM2495,TMorgan,Thomas,,Morgan,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,3,Newyork City,,2487,SHANE,CRONIN,,Thomas.Morgan@sec.com,,,,,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2782,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2496,LB2496,LBranagan,Lynsey,,Branagan,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,THOMAS,MORGAN,,Lynsey.Branagan@sec.com,,,,7825935700,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2782,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2497,MM2497,MMoran,Mary,,Moran,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,THOMAS,MORGAN,,Mary.Moran@sec.com,,,,58406,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2782,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2498,MO2498,MO'Looney,Michael,,O'Looney,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,THOMAS,MORGAN,,Michael.O'Looney@sec.com,,,,07776166248/01276 20409,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2782,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2501,GM2501,GMcCarthy,Geraldine,,McCarthy,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,3,Newyork City,,2487,SHANE,CRONIN,,Geraldine.McCarthy@sec.com,,,,,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2502,AK2502,AKavanagh,Ann-Marie,,Kavanagh,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,GERALDINE,MCCARTHY,,Ann-Marie.Kavanagh@sec.com,,,,,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2503,FG2503,FGroundwater,Federica,,Groundwater,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,GERALDINE,MCCARTHY,,Federica.Groundwater@sec.com,,,,,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2504,SW2504,SWyer,Sighle,,Wyer,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,GERALDINE,MCCARTHY,,Sighle.Wyer@sec.com,,,,,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2505,CR2505,CRuane,Claire,,Ruane,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,GERALDINE,MCCARTHY,,Claire.Ruane@sec.com,,,,,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2508,DO2508,DO'Reilly,Deirdre,,O'Reilly,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,3,Newyork City,,2487,SHANE,CRONIN,,Deirdre.O'Reilly@sec.com,,,,,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2509,CL2509,CLaws,Ciara,,Laws,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,DEIRDRE,O'REILLY,,Ciara.Laws@sec.com,,,,,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2510,CM2510,CMcDonald,Ciara,,McDonald,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,DEIRDRE,O'REILLY,,Ciara.McDonald@sec.com,,,,,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2511,BO2511,BOrr,Benedict,,Orr,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,DEIRDRE,O'REILLY,,Benedict.Orr@sec.com,,,,07824 383219,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2512,GR2512,GRocks,Gillian,,Rocks,,,Gill,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,DEIRDRE,O'REILLY,,Gillian.Rocks@sec.com,,,,020 7695 4549,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2515,BT2515,BTaylor,Brian,,Taylor,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,3,Newyork City,,2487,SHANE,CRONIN,,Brian.Taylor@sec.com,,,,020 7695 6263,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2516,VT2516,VThommen,Viktoria,,Thommen,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,BRIAN,TAYLOR,,Viktoria.Thommen@sec.com,,,,,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2517,DS2517,DSlevin,Donall,,Slevin,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,BRIAN,TAYLOR,,Donall.Slevin@sec.com,,,,02476 439 572,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2518,AB2518,ABarrett,Ashling,,Barrett,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,BRIAN,TAYLOR,,Ashling.Barrett@sec.com,,,,0800 707 6242,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2519,JM2519,JMcMahon,Judit,,McMahon,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,BRIAN,TAYLOR,,Judit.McMahon@sec.com,,,,,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2520,JT2520,JToner,John,,Toner,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,BRIAN,TAYLOR,,John.Toner@sec.com,,,,2076956638,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2521,SR2521,SRuddock,Sinead,,Ruddock,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,BRIAN,TAYLOR,,Sinead.Ruddock@sec.com,,,,020 7695 8235,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2522,GM2522,GMoloney,Gillian,,Moloney,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,BRIAN,TAYLOR,,Gillian.Moloney@sec.com,,,,020 7954487,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2526,BM2526,BMoran,Brendan,,Moran,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,3,Newyork City,,2487,SHANE,CRONIN,,Brendan.Moran@sec.com,,,,02476 439 378,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2527,VK2527,VKavanagh,Virginie,,Kavanagh,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,BRENDAN,MORAN,,Virginie.Kavanagh@sec.com,,,,020 7695 7957,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2528,EC2528,ECurran,Eoghan,,Curran,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,BRENDAN,MORAN,,Eoghan.Curran@sec.com,,,,,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
2529,AM2529,AMoore,Aine,,Moore,,,,Cash Planning and Management,Corporate Strategy and Planning,7,Cash,CASH7,4,Newyork City,,2487,BRENDAN,MORAN,,Aine.Moore@sec.com,,,,,,,Associate Cash Management,FT,FullTime,Regular,FullTime,1,Active,5201 EDEN AVE,NewYork City,NY,10019,NY,East,USA,2835,,R7,IACCC07,IACCC07,,,,,,6/12/2009,,,,,,,,2,Regular,Domestic,
